[0.27858055],[0.34616208],[0.33902556],[0.36535573],[0.12408271],[0.18203978],[0.12606183],[0.3219973],[0.1199888],[0.04666903]
[0.02811245],[0.07709324],[0.38836685],[0.36691973],[0.11674356],[0.05514878],[0.13608845],[0.05285025],[0.37502274],[0.23731184]
[0.19550821],[0.16479984],[0.05030656],[0.14527583],[0.37791595],[0.03763571],[0.37517664],[0.04158538],[0.12274251],[0.14017616]
[0.05364163],[0.1516701],[0.35214493],[0.10260665],[0.14188395],[0.04602617],[0.13317041],[0.04759701],[0.15671916],[0.29134536]
[0.15277195],[0.17045504],[0.14898138],[0.21802948],[0.16030735],[0.15571801],[0.05084377],[0.11718748],[0.02926987],[0.05048164]
[0.2695057],[0.28889084],[0.3278633],[0.30134615],[0.28948364],[0.05270023],[0.16190946],[0.05053976],[0.1489756],[0.05012742]
[0.2155427],[0.38763222],[0.38796514],[0.20730586],[0.39123467],[0.10752811],[0.39672467],[0.05976359],[0.37754545],[0.05236349]
[0.05879369],[0.15220547],[0.21463802],[0.14145325],[0.3775883],[0.12158398],[0.08281149],[0.30756837],[0.3097316],[0.06965689]
[0.23641168],[0.2773523],[0.3946182],[0.25819126],[0.25191516],[0.05922275],[0.13726115],[0.05278387],[0.13772713],[0.14968246]
[0.1521561],[0.18781585],[0.15491742],[0.12797782],[0.22697704],[0.1379492],[0.22590807],[0.10535304],[0.13461387],[0.19049458]
[0.23146264],[0.12022424],[0.22699498],[0.1497444],[0.22256301],[0.22906812],[0.18078749],[0.28007165],[0.15965356],[0.15045191]
[0.14741604],[0.19289698],[0.2595494],[0.07974722],[0.22573867],[0.15619485],[0.13483374],[0.05362919],[0.15900308],[0.14430454]
[0.14599422],[0.35917446],[0.05632813],[0.17157516],[0.20859413],[0.337728],[0.2954338],[0.16673428],[0.02582433],[0.04282473]
[0.06138363],[0.17169188],[0.05195553],[0.36791286],[0.0226022],[0.39352384],[0.36230966],[0.37430367],[0.3767999],[0.15185356]
[0.15169676],[0.13995786],[0.06223949],[0.15356602],[0.21653245],[0.17768306],[0.20089304],[0.22627313],[0.14188436],[0.15633252]
[0.39731464],[0.3949798],[0.39104918],[0.3983261],[0.38789377],[0.33841506],[0.02192216],[0.04854519],[0.16121854],[0.15278599]
[0.15863398],[0.09805325],[0.25949213],[0.05658891],[0.14440684],[0.1612138],[0.25854725],[0.19078772],[0.37699148],[0.07661626]
[0.07149515],[0.3764625],[0.01732139],[0.0355318],[0.3943191],[0.38699865],[0.39731383],[0.33352157],[0.3884568],[0.06973226]
[0.39523432],[0.18411075],[0.03955502],[0.01241605],[0.16448241],[0.05142115],[0.15912855],[0.3230555],[0.18071108],[0.10226119]
[0.15326901],[0.19833975],[0.26254386],[0.31604576],[0.16082226],[0.06772797],[0.14966999],[0.05698602],[0.15883625],[0.14944544]
[0.3406993],[0.39386472],[0.30050716],[0.37356365],[0.15912041],[0.22127771],[0.38672677],[0.31595874],[0.16481408],[0.06385206]
[0.16327447],[0.24782577],[0.2561718],[0.32887226],[0.15712991],[0.16219245],[0.1350811],[0.07770693],[0.17909995],[0.16751806]
[0.16543026],[0.39005446],[0.3983452],[0.32362983],[0.1842679],[0.15755245],[0.3763506],[0.3983853],[0.18577108],[0.1540638]
[0.1569697],[0.20442247],[0.19831549],[0.16605197],[0.23057166],[0.19120507],[0.15445696],[0.16736707],[0.15418458],[0.15841918]
[0.15352009],[0.17625932],[0.22873616],[0.18408674],[0.20263012],[0.35256192],[0.32888314],[0.35761184],[0.1798287],[0.3381006]
[0.06892525],[0.38075823],[0.06782012],[0.25954142],[0.19743474],[0.26559052],[0.25973794],[0.18915215],[0.18701015],[0.1840717]
[0.16081212],[0.1663884],[0.14523146],[0.17734642],[0.04910229],[0.37229437],[0.28340182],[0.21513247],[0.18857329],[0.15899995]
[0.0473251],[0.15846206],[0.09003251],[0.22023304],[0.12375412],[0.10369468],[0.089271],[0.0659852],[0.15622143],[0.16012956]
[0.17279394],[0.31868818],[0.31761673],[0.18798983],[0.38952976],[0.34640196],[0.17651984],[0.06403228],[0.15255032],[0.07280739]
[0.3520688],[0.39339137],[0.28729635],[0.29333004],[0.33450326],[0.15526092],[0.2527469],[0.06538278],[0.37622485],[0.07355925]
[0.09430219],[0.172081],[0.33464032],[0.2200141],[0.18240233],[0.01507343],[0.03088483],[0.01751344],[0.1690589],[0.07207879]
[0.16500588],[0.13125676],[0.2756249],[0.16181791],[0.1949643],[0.3181294],[0.20893414],[0.35448083],[0.19695434],[0.16857715]
[0.07615348],[0.16432004],[0.16101842],[0.39426807],[0.35266212],[0.3795175],[0.36342642],[0.38234383],[0.27672404],[0.23993814]
[0.17668839],[0.39495927],[0.3866775],[0.20079708],[0.21490191],[0.3719628],[0.349354],[0.37095454],[0.20519853],[0.16319291]
[0.07675269],[0.186935],[0.3380656],[0.1898063],[0.1646931],[0.2316886],[0.16546677],[0.25866714],[0.3954291],[0.17080127]
[0.1636548],[0.18999016],[0.32786873],[0.11032164],[0.05759623],[0.14246354],[0.38670605],[0.32605857],[0.3814561],[0.26733562]
[0.16709433],[0.19152151],[0.2483348],[0.30371556],[0.37783596],[0.30530968],[0.05937508],[0.17360868],[0.19808312],[0.33843693]
[0.07007732],[0.18485631],[0.37014225],[0.37286782],[0.37440738],[0.34190124],[0.2965382],[0.25376973],[0.2873764],[0.22970925]
[0.16379297],[0.17589124],[0.07302217],[0.10046779],[0.05776048],[0.01848634],[0.12804908],[0.31434628],[0.21536265],[0.09361949]
[0.16817757],[0.18153019],[0.2713956],[0.25992915],[0.2905336],[0.21427062],[0.30294475],[0.24970703],[0.25660157],[0.09936366]
[0.16924644],[0.21607511],[0.363364],[0.39749745],[0.35300818],[0.36979243],[0.25127646],[0.3576965],[0.39101842],[0.18521486]
[0.08351276],[0.36134633],[0.1983972],[0.26225653],[0.21758941],[0.37544173],[0.20110515],[0.07149483],[0.35379243],[0.22746053]
[0.17572148],[0.2093852],[0.02097104],[0.01463316],[0.20456119],[0.03022074],[0.04044742],[0.27248472],[0.14103739],[0.17850263]
[0.18271156],[0.1732953],[0.18186401],[0.02003977],[0.05464026],[0.196609],[0.15842053],[0.21379006],[0.37390712],[0.29421544]
[0.17715],[0.14580195],[0.2706684],[0.2604938],[0.14206672],[0.07393596],[0.20088322],[0.07181226],[0.3268006],[0.21910258]
[0.05826626],[0.25647753],[0.32283756],[0.18809459],[0.07080223],[0.17205605],[0.16538186],[0.12277678],[0.07769417],[0.04840631]
[0.16965982],[0.20698464],[0.38132957],[0.33581802],[0.22319964],[0.18242268],[0.18222481],[0.2288516],[0.1585607],[0.26698467]
[0.05036394],[0.24073127],[0.23773317],[0.18349825],[0.3383036],[0.01129666],[0.02557279],[0.04861204],[0.20020173],[0.1714416]
[0.14028917],[0.13426505],[0.20306714],[0.34341592],[0.28455403],[0.18087314],[0.31359857],[0.16956487],[0.21162291],[0.17178151]
[0.19432728],[0.21575879],[0.18598215],[0.19214617],[0.21383941],[0.19779733],[0.30379578],[0.10125279],[0.35004956],[0.23967706]
[0.18138392],[0.21391873],[0.0631498],[0.26561818],[0.20256267],[0.32171854],[0.38471833],[0.342556],[0.3556783],[0.39667377]
[0.07752421],[0.19966583],[0.2644347],[0.32893777],[0.20853174],[0.27667058],[0.2485076],[0.34249985],[0.13042085],[0.01700585]
[0.27584577],[0.21095093],[0.35879055],[0.27518657],[0.31295708],[0.24951756],[0.13639042],[0.28214073],[0.21732903],[0.18560427]
[0.18591848],[0.32005876],[0.04223566],[0.02078157],[0.01254584],[0.20644851],[0.1797433],[0.20584236],[0.07528917],[0.2092979]
[0.26505554],[0.15264617],[0.10475327],[0.1223532],[0.36004743],[0.37872934],[0.3220532],[0.33825865],[0.39863524],[0.1816085]
[0.20117672],[0.20799266],[0.11326171],[0.14788629],[0.17847064],[0.2043062],[0.06679951],[0.2459841],[0.12597728],[0.11593121]
[0.18135579],[0.219293],[0.28896585],[0.3252705],[0.17160153],[0.16375999],[0.28397542],[0.17917047],[0.22936292],[0.28903612]
[0.09709707],[0.37431848],[0.19288866],[0.17345195],[0.0250066],[0.01712162],[0.05921621],[0.09317842],[0.08928763],[0.04135139]
[0.19266853],[0.18265647],[0.18480611],[0.17599885],[0.19158249],[0.08089373],[0.1388437],[0.19397716],[0.2990416],[0.1417437]
[0.06038217],[0.17985773],[0.08448195],[0.273223],[0.31161126],[0.33298174],[0.373033],[0.1827019],[0.22737376],[0.33858228]
[0.21449463],[0.17320363],[0.13259399],[0.18218236],[0.2127947],[0.17828847],[0.13976704],[0.09653206],[0.17939171],[0.12338991]
[0.28121975],[0.30726612],[0.36718562],[0.39414224],[0.22076197],[0.3923975],[0.19982854],[0.3968547],[0.18200117],[0.20973022]
[0.3110717],[0.238994],[0.19212802],[0.3296296],[0.29956695],[0.22725582],[0.38822767],[0.3663629],[0.20426834],[0.19625457]
[0.3446835],[0.18086486],[0.07897184],[0.15098512],[0.34069228],[0.32661277],[0.27962312],[0.23601282],[0.3419865],[0.2854044]
[0.15795735],[0.38566917],[0.37323475],[0.25537834],[0.26132601],[0.34906566],[0.0134995],[0.09036533],[0.37808105],[0.20168726]
[0.2939383],[0.23337519],[0.19443473],[0.26038772],[0.18078145],[0.01966842],[0.01612055],[0.05466817],[0.18193856],[0.19777526]
[0.39672306],[0.24211979],[0.3450918],[0.36861587],[0.36527142],[0.33353373],[0.39567035],[0.23799856],[0.3950961],[0.35020253]
[0.24116431],[0.18388356],[0.18774365],[0.17982073],[0.2578408],[0.37801453],[0.38967642],[0.05861516],[0.38309],[0.37939605]
[0.20690103],[0.3976404],[0.39631307],[0.39865085],[0.39545012],[0.3674418],[0.38069835],[0.39712048],[0.39675117],[0.32207164]
[0.28605708],[0.2453535],[0.36586693],[0.36289614],[0.3770214],[0.3395351],[0.3283043],[0.03675488],[0.38106155],[0.22159143]
[0.21993263],[0.2171527],[0.20619832],[0.21457043],[0.0842021],[0.02503023],[0.09759374],[0.11872615],[0.03587423],[0.08427499]
[0.01907334],[0.08494974],[0.1720388],[0.0762394],[0.00863227],[0.00833502],[0.01832225],[0.1386684],[0.30615416],[0.01700275]
