tensor([0.2106]),tensor([0.1532]),tensor([0.2064]),tensor([0.1589]),tensor([0.2039]),tensor([0.1486]),tensor([0.0528]),tensor([0.1478]),tensor([0.2587]),tensor([0.1557])
tensor([0.1225]),tensor([0.3060]),tensor([0.2194]),tensor([0.1466]),tensor([0.2157]),tensor([0.1618]),tensor([0.1727]),tensor([0.1492]),tensor([0.2665]),tensor([0.1562])
tensor([0.2149]),tensor([0.1432]),tensor([0.1594]),tensor([0.0481]),tensor([0.1451]),tensor([0.2154]),tensor([0.1488]),tensor([0.1593]),tensor([0.1525]),tensor([0.1532])
tensor([0.1454]),tensor([0.2352]),tensor([0.1447]),tensor([0.0536]),tensor([0.1619]),tensor([0.1879]),tensor([0.1810]),tensor([0.2040]),tensor([0.1781]),tensor([0.1556])
tensor([0.0522]),tensor([0.1440]),tensor([0.2335]),tensor([0.1598]),tensor([0.1935]),tensor([0.1716]),tensor([0.0521]),tensor([0.1788]),tensor([0.2585]),tensor([0.1606])
tensor([0.1218]),tensor([0.1628]),tensor([0.2210]),tensor([0.1704]),tensor([0.2173]),tensor([0.1676]),tensor([0.1716]),tensor([0.1796]),tensor([0.1591]),tensor([0.1630])
tensor([0.2884]),tensor([0.1611]),tensor([0.1688]),tensor([0.1585]),tensor([0.2366]),tensor([0.1436]),tensor([0.2235]),tensor([0.1645]),tensor([0.2073]),tensor([0.1694])
tensor([0.1830]),tensor([0.1597]),tensor([0.2368]),tensor([0.1690]),tensor([0.1840]),tensor([0.1670]),tensor([0.3187]),tensor([0.1488]),tensor([0.1494]),tensor([0.1744])
tensor([0.2281]),tensor([0.1324]),tensor([0.1460]),tensor([0.2362]),tensor([0.1696]),tensor([0.1988]),tensor([0.1592]),tensor([0.0567]),tensor([0.1581]),tensor([0.1578])
tensor([0.1662]),tensor([0.1738]),tensor([0.1618]),tensor([0.2475]),tensor([0.1599]),tensor([0.1974]),tensor([0.1580]),tensor([0.3215]),tensor([0.1456]),tensor([0.1518])
tensor([0.2268]),tensor([0.1663]),tensor([0.2269]),tensor([0.1621]),tensor([0.2249]),tensor([0.1575]),tensor([0.1714]),tensor([0.1624]),tensor([0.1667]),tensor([0.1298])
tensor([0.1615]),tensor([0.2229]),tensor([0.1601]),tensor([0.0605]),tensor([0.1704]),tensor([0.1915]),tensor([0.1602]),tensor([0.1527]),tensor([0.1384]),tensor([0.1552])
tensor([0.1402]),tensor([0.1584]),tensor([0.1674]),tensor([0.2213]),tensor([0.1657]),tensor([0.1694]),tensor([0.3269]),tensor([0.1619]),tensor([0.0577]),tensor([0.1628])
tensor([0.1828]),tensor([0.1623]),tensor([0.0572]),tensor([0.0227]),tensor([0.1533]),tensor([0.0544]),tensor([0.1521]),tensor([0.2256]),tensor([0.1479]),tensor([0.2282])
tensor([0.1551]),tensor([0.1517]),tensor([0.1512]),tensor([0.1774]),tensor([0.1665]),tensor([0.1868]),tensor([0.1827]),tensor([0.2494]),tensor([0.1493]),tensor([0.1723])
tensor([0.1438]),tensor([0.1556]),tensor([0.1492]),tensor([0.2458]),tensor([0.1628]),tensor([0.1865]),tensor([0.1856]),tensor([0.0702]),tensor([0.1671]),tensor([0.1929])
tensor([0.1600]),tensor([0.2337]),tensor([0.1677]),tensor([0.2330]),tensor([0.1611]),tensor([0.1717]),tensor([0.1924]),tensor([0.1739]),tensor([0.1572]),tensor([0.1636])
tensor([0.2439]),tensor([0.1773]),tensor([0.1794]),tensor([0.2277]),tensor([0.1626]),tensor([0.1638]),tensor([0.1681]),tensor([0.3986]),tensor([0.1803]),tensor([0.1601])
tensor([0.1443]),tensor([0.1618]),tensor([0.1514]),tensor([0.2509]),tensor([0.1663]),tensor([0.1924]),tensor([0.1910]),tensor([0.1739]),tensor([0.2941]),tensor([0.1690])
tensor([0.2476]),tensor([0.1594]),tensor([0.0525]),tensor([0.2019]),tensor([0.1491]),tensor([0.0609]),tensor([0.1665]),tensor([0.1765]),tensor([0.2115]),tensor([0.1697])
tensor([0.1025]),tensor([0.1978]),tensor([0.2882]),tensor([0.0604]),tensor([0.1700]),tensor([0.0589]),tensor([0.1693]),tensor([0.0576]),tensor([0.1605]),tensor([0.1507])
tensor([0.1528]),tensor([0.1625]),tensor([0.2307]),tensor([0.0581]),tensor([0.1894]),tensor([0.2118]),tensor([0.1812]),tensor([0.0606]),tensor([0.1627]),tensor([0.1666])
tensor([0.1609]),tensor([0.1579]),tensor([0.1569]),tensor([0.1473]),tensor([0.1617]),tensor([0.1907]),tensor([0.1951]),tensor([0.2010]),tensor([0.1909]),tensor([0.2333])
tensor([0.2009]),tensor([0.1751]),tensor([0.1982]),tensor([0.1847]),tensor([0.1745]),tensor([0.2499]),tensor([0.1497]),tensor([0.1643]),tensor([0.1493]),tensor([0.1462])
tensor([0.1716]),tensor([0.1768]),tensor([0.1701]),tensor([0.1664]),tensor([0.1612]),tensor([0.2524]),tensor([0.1567]),tensor([0.1735]),tensor([0.1848]),tensor([0.1847])
tensor([0.2632]),tensor([0.1804]),tensor([0.2049]),tensor([0.1991]),tensor([0.1676]),tensor([0.1654]),tensor([0.1639]),tensor([0.1580]),tensor([0.1665]),tensor([0.1634])
tensor([0.1618]),tensor([0.1647]),tensor([0.1568]),tensor([0.2532]),tensor([0.1648]),tensor([0.0644]),tensor([0.1904]),tensor([0.1844]),tensor([0.2240]),tensor([0.1721])
tensor([0.1721]),tensor([0.1635]),tensor([0.1413]),tensor([0.1623]),tensor([0.1621]),tensor([0.1779]),tensor([0.2482]),tensor([0.1807]),tensor([0.2152]),tensor([0.2056])
tensor([0.1661]),tensor([0.1604]),tensor([0.1643]),tensor([0.1547]),tensor([0.0694]),tensor([0.2057]),tensor([0.2045]),tensor([0.1934]),tensor([0.0679]),tensor([0.1853])
tensor([0.1683]),tensor([0.1848]),tensor([0.2149]),tensor([0.1764]),tensor([0.1853]),tensor([0.2587]),tensor([0.1660]),tensor([0.1686]),tensor([0.1593]),tensor([0.1603])
tensor([0.1749]),tensor([0.2086]),tensor([0.1813]),tensor([0.2101]),tensor([0.0867]),tensor([0.3859]),tensor([0.1832]),tensor([0.2540]),tensor([0.1700]),tensor([0.1667])
tensor([0.1764]),tensor([0.1352]),tensor([0.1994]),tensor([0.1625]),tensor([0.1734]),tensor([0.1711]),tensor([0.1970]),tensor([0.2014]),tensor([0.2373]),tensor([0.1756])
tensor([0.1795]),tensor([0.1945]),tensor([0.3300]),tensor([0.1785]),tensor([0.0662]),tensor([0.1692]),tensor([0.1659]),tensor([0.2099]),tensor([0.2622]),tensor([0.1710])
